Date, Open, High, Low, Close
06/17/22,29913,30168,29653,29889
06/16/22,30306,30306,29740,29927
06/15/22,30570,31012,30185,30669
06/14/22,30592,30691,30144,30365
06/13/22,31145,31145,30374,30517
06/10/22,32054,32054,31388,31393
06/09/22,32829,32957,32268,32273
06/08/22,33087,33156,32824,32911
06/07/22,32783,33207,32642,33180
06/06/22,33032,33235,32820,32916
06/03/22,32986,33136,32839,32900
06/02/22,32809,33249,32509,33248
06/01/22,33156,33272,32585,32813
05/31/22,33161,33240,32752,32990
05/27/22,32735,33214,32682,33213
05/26/22,32248,32774,32248,32637
05/25/22,31816,32254,31754,32120
05/24/22,31718,32015,31366,31929
05/23/22,31396,31968,31396,31880
05/20/22,31427,31516,30636,31262
05/19/22,31263,31569,31016,31253
05/18/22,32469,32469,31394,31490
05/17/22,32427,32689,32308,32655
05/16/22,32152,32514,31928,32223
05/13/22,31964,32276,31863,32197
05/12/22,31699,31914,31228,31730
05/11/22,32123,32584,31799,31834
05/10/22,32504,32752,31888,32161
05/09/22,32685,32685,32122,32246
05/06/22,32774,33056,32475,32899
05/05/22,33854,33854,32685,32998
05/04/22,33172,34118,33022,34061
05/03/22,33086,33342,32915,33129
05/02/22,32978,33225,32450,33062
04/29/22,33787,33920,32913,32977
04/28/22,33426,34055,33248,33916
04/27/22,33451,33697,33109,33302
04/26/22,33907,33910,33231,33240
04/25/22,33732,34106,33323,34049
04/22/22,34727,34727,33773,33811
04/21/22,35259,35492,34724,34793
04/20/22,34963,35315,34963,35161
04/19/22,34395,34983,34395,34911
04/18/22,34411,34618,34279,34412
04/14/22,34628,34889,34438,34451
04/13/22,34167,34598,34141,34565
04/12/22,34413,34670,34103,34220
04/11/22,34630,34701,34272,34308
04/08/22,34569,34908,34470,34721
04/07/22,34439,34706,34191,34584
04/06/22,34520,34610,34277,34497
04/05/22,34876,35112,34566,34641
04/04/22,34800,34941,34615,34922
04/01/22,34741,34848,34538,34818
03/31/22,35202,35202,34678,34678
03/30/22,35274,35361,35059,35229
03/29/22,35114,35372,35030,35294
03/28/22,34833,34958,34552,34956
03/25/22,34702,34943,34632,34861
03/24/22,34407,34714,34355,34708
03/23/22,34749,34749,34353,34358
03/22/22,34583,34882,34583,34807
03/21/22,34670,34808,34342,34553
