Date, Open, High, Low, Close
06/22/22, 3733.89, 3801.79, 3717.69, 3759.89
06/21/22, 3715.31, 3779.65, 3715.31, 3764.79
06/17/22, 3665.90, 3707.71, 3636.87, 3674.84
06/16/22, 3728.18, 3728.18, 3639.77, 3666.77
06/15/22, 3764.05, 3837.56, 3722.30, 3789.99
06/14/22, 3763.52, 3778.18, 3705.68, 3735.48
06/13/22, 3838.15, 3838.15, 3734.30, 3749.63
06/10/22, 3974.39, 3974.39, 3900.16, 3900.86
06/09/22, 4101.65, 4119.10, 4017.17, 4017.82
06/08/22, 4147.12, 4160.14, 4107.20, 4115.77
06/07/22, 4096.47, 4164.86, 4080.19, 4160.68
06/06/22, 4134.72, 4168.78, 4109.18, 4121.43
06/03/22, 4137.57, 4142.67, 4098.67, 4108.54
06/02/22, 4095.41, 4177.51, 4074.37, 4176.82
06/01/22, 4149.78, 4166.54, 4073.85, 4101.23
05/31/22, 4151.09, 4168.34, 4104.88, 4132.15
05/27/22, 4077.25, 4158.49, 4077.43, 4158.24
05/26/22, 3984.60, 4075.14, 3984.60, 4057.84
05/25/22, 3929.59, 3999.33, 3925.03, 3978.73
05/24/22, 3942.94, 3955.68, 3875.13, 3941.48
05/23/22, 3919.42, 3981.88, 3909.04, 3973.75
05/20/22, 3927.76, 3943.42, 3810.32, 3901.36
05/19/22, 3899.00, 3945.96, 3876.58, 3900.79
05/18/22, 4051.98, 4051.98, 3911.91, 3923.68
05/17/22, 4052.00, 4090.72, 4033.93, 4088.85
05/16/22, 4013.02, 4046.46, 3983.99, 4008.01
05/13/22, 3963.90, 4038.88, 3963.90, 4023.89
05/12/22, 3903.95, 3964.80, 3858.87, 3930.08
05/11/22, 3990.08, 4049.09, 3928.82, 3935.18
05/10/22, 4035.18, 4068.82, 3958.17, 4001.05
05/09/22, 4081.27, 4081.27, 3975.48, 3991.24
05/06/22, 4128.17, 4157.69, 4067.91, 4123.34
05/05/22, 4270.43, 4270.43, 4106.01, 4146.87
05/04/22, 4181.18, 4307.66, 4148.91, 4300.17
05/03/22, 4159.78, 4200.10, 4147.08, 4175.48
05/02/22, 4130.61, 4169.81, 4062.51, 4155.38
04/29/22, 4253.75, 4269.68, 4124.28, 4131.93
04/28/22, 4222.58, 4308.45, 4188.63, 4287.50
04/27/22, 4186.52, 4240.71, 4162.90, 4183.96
04/26/22, 4278.14, 4278.14, 4175.04, 4175.20
04/25/22, 4255.34, 4299.02, 4200.82, 4296.12
04/22/22, 4385.83, 4385.83, 4267.62, 4271.78
04/21/22, 4489.17, 4512.94, 4384.47, 4393.66
04/20/22, 4472.26, 4488.29, 4448.76, 4459.45
04/19/22, 4390.63, 4471.03, 4390.63, 4462.21
04/18/22, 4385.63, 4410.31, 4370.30, 4391.69
04/14/22, 4449.12, 4460.46, 4390.77, 4392.59
04/13/22, 4394.30, 4453.92, 4392.70, 4446.59
04/12/22, 4437.59, 4471.00, 4381.34, 4397.45
04/11/22, 4462.64, 4464.35, 4408.38, 4412.53
04/08/22, 4494.15, 4520.41, 4474.60, 4488.28
04/07/22, 4474.65, 4521.16, 4450.30, 4500.21
04/06/22, 4494.17, 4503.94, 4450.04, 4481.15
04/05/22, 4572.45, 4593.45, 4514.17, 4525.12
04/04/22, 4547.97, 4583.50, 4539.21, 4582.64
04/01/22, 4540.32, 4548.70, 4507.57, 4545.86
03/31/22, 4599.02, 4603.07, 4530.41, 4530.41
03/30/22, 4624.20, 4627.77, 4581.32, 4602.45
03/29/22, 4602.86, 4637.30, 4589.66, 4631.60
03/28/22, 4541.09, 4575.65, 4517.69, 4575.52
03/25/22, 4522.91, 4546.03, 4501.07, 4543.06
